2026-04-27 16:29:14 | INFO     | __main__:181 | Checking Binance connectivity...
2026-04-27 16:29:14 | INFO     | __main__:57 | ============================================================
2026-04-27 16:29:14 | INFO     | __main__:58 | QF623 Crypto Algo — Backtest Pipeline
2026-04-27 16:29:14 | INFO     | __main__:59 | ============================================================
2026-04-27 16:29:14 | INFO     | __main__:62 | Step 1/6: Loading universe data
2026-04-27 16:29:14 | INFO     | data.ingestion:85 | Fetching BTCUSDT 1d from 2021-01-01
2026-04-27 16:29:15 | SUCCESS  | data.ingestion:105 | Cached BTCUSDT: 1943 bars → BTCUSDT_1d.parquet
2026-04-27 16:29:15 | INFO     | data.ingestion:85 | Fetching ETHUSDT 1d from 2021-01-01
2026-04-27 16:29:15 | SUCCESS  | data.ingestion:105 | Cached ETHUSDT: 1943 bars → ETHUSDT_1d.parquet
2026-04-27 16:29:15 | INFO     | data.ingestion:85 | Fetching BNBUSDT 1d from 2021-01-01
2026-04-27 16:29:16 | SUCCESS  | data.ingestion:105 | Cached BNBUSDT: 1943 bars → BNBUSDT_1d.parquet
2026-04-27 16:29:16 | INFO     | data.ingestion:85 | Fetching SOLUSDT 1d from 2021-01-01
2026-04-27 16:29:16 | SUCCESS  | data.ingestion:105 | Cached SOLUSDT: 1936 bars → SOLUSDT_1d.parquet
2026-04-27 16:29:16 | INFO     | data.ingestion:85 | Fetching XRPUSDT 1d from 2021-01-01
2026-04-27 16:29:17 | SUCCESS  | data.ingestion:105 | Cached XRPUSDT: 1943 bars → XRPUSDT_1d.parquet
2026-04-27 16:29:17 | INFO     | data.ingestion:85 | Fetching ADAUSDT 1d from 2021-01-01
2026-04-27 16:29:17 | SUCCESS  | data.ingestion:105 | Cached ADAUSDT: 1921 bars → ADAUSDT_1d.parquet
2026-04-27 16:29:17 | INFO     | data.ingestion:85 | Fetching AVAXUSDT 1d from 2021-01-01
2026-04-27 16:29:17 | SUCCESS  | data.ingestion:105 | Cached AVAXUSDT: 1853 bars → AVAXUSDT_1d.parquet
2026-04-27 16:29:17 | INFO     | data.ingestion:85 | Fetching DOTUSDT 1d from 2021-01-01
2026-04-27 16:29:18 | SUCCESS  | data.ingestion:105 | Cached DOTUSDT: 1733 bars → DOTUSDT_1d.parquet
2026-04-27 16:29:18 | INFO     | data.ingestion:85 | Fetching LINKUSDT 1d from 2021-01-01
2026-04-27 16:29:18 | SUCCESS  | data.ingestion:105 | Cached LINKUSDT: 1913 bars → LINKUSDT_1d.parquet
2026-04-27 16:29:19 | INFO     | data.ingestion:85 | Fetching MATICUSDT 1d from 2021-01-01
2026-04-27 16:29:19 | SUCCESS  | data.ingestion:105 | Cached MATICUSDT: 1331 bars → MATICUSDT_1d.parquet
2026-04-27 16:29:19 | INFO     | data.ingestion:85 | Fetching ATOMUSDT 1d from 2021-01-01
2026-04-27 16:29:20 | SUCCESS  | data.ingestion:105 | Cached ATOMUSDT: 1362 bars → ATOMUSDT_1d.parquet
2026-04-27 16:29:20 | INFO     | data.ingestion:85 | Fetching LTCUSDT 1d from 2021-01-01
2026-04-27 16:29:21 | SUCCESS  | data.ingestion:105 | Cached LTCUSDT: 1932 bars → LTCUSDT_1d.parquet
2026-04-27 16:29:21 | INFO     | data.ingestion:132 | Universe loaded: 12/12 symbols
2026-04-27 16:29:21 | INFO     | __main__:70 | Universe: ['BTCUSDT', 'ETHUSDT', 'BNBUSDT', 'SOLUSDT', 'XRPUSDT', 'ADAUSDT', 'AVAXUSDT', 'DOTUSDT', 'LINKUSDT', 'MATICUSDT', 'ATOMUSDT', 'LTCUSDT']
2026-04-27 16:29:21 | INFO     | __main__:71 | Date range: 2021-01-01 → 2026-04-27
2026-04-27 16:29:21 | INFO     | __main__:72 | Total bars: 1943
2026-04-27 16:29:21 | INFO     | __main__:75 | Step 2/6: Loading funding rates and sentiment data
2026-04-27 16:29:24 | INFO     | __main__:80 | Step 3/6: Generating signals for all 10 strategies
2026-04-27 16:29:24 | INFO     | __main__:85 |   → momentum
2026-04-27 16:29:24 | DEBUG    | strategies.base:68 | Running strategy: momentum
2026-04-27 16:29:25 | INFO     | __main__:85 |   → mean_reversion
2026-04-27 16:29:25 | DEBUG    | strategies.base:68 | Running strategy: mean_reversion
2026-04-27 16:29:25 | INFO     | __main__:85 |   → risk_parity
2026-04-27 16:29:25 | DEBUG    | strategies.base:68 | Running strategy: risk_parity
2026-04-27 16:30:09 | INFO     | __main__:181 | Checking Binance connectivity...
2026-04-27 16:30:09 | INFO     | __main__:57 | ============================================================
2026-04-27 16:30:09 | INFO     | __main__:58 | QF623 Crypto Algo — Backtest Pipeline
2026-04-27 16:30:09 | INFO     | __main__:59 | ============================================================
2026-04-27 16:30:09 | INFO     | __main__:62 | Step 1/6: Loading universe data
2026-04-27 16:30:09 | DEBUG    | data.ingestion:82 | Cache hit: BTCUSDT 1d
2026-04-27 16:30:09 | DEBUG    | data.ingestion:82 | Cache hit: ETHUSDT 1d
2026-04-27 16:30:09 | DEBUG    | data.ingestion:82 | Cache hit: BNBUSDT 1d
2026-04-27 16:30:10 | DEBUG    | data.ingestion:82 | Cache hit: SOLUSDT 1d
2026-04-27 16:30:10 | DEBUG    | data.ingestion:82 | Cache hit: XRPUSDT 1d
2026-04-27 16:30:10 | DEBUG    | data.ingestion:82 | Cache hit: ADAUSDT 1d
2026-04-27 16:30:10 | DEBUG    | data.ingestion:82 | Cache hit: AVAXUSDT 1d
2026-04-27 16:30:10 | DEBUG    | data.ingestion:82 | Cache hit: DOTUSDT 1d
2026-04-27 16:30:10 | DEBUG    | data.ingestion:82 | Cache hit: LINKUSDT 1d
2026-04-27 16:30:10 | DEBUG    | data.ingestion:82 | Cache hit: MATICUSDT 1d
2026-04-27 16:30:10 | DEBUG    | data.ingestion:82 | Cache hit: ATOMUSDT 1d
