time,symbol,side,qty,price,reason,order_id
2026-04-28 08:49:00.155917+00:00,BTCUSDT,BUY,0.02604,76792.26,signal_rebalance,10449588
2026-04-28 09:03:42.257159+00:00,ETHUSDT,BUY,0.8752,2285.15,signal_rebalance,5506067
2026-04-28 09:03:42.476119+00:00,BNBUSDT,BUY,3.205,623.95,signal_rebalance,3429573
