date,momentum,mean_reversion,risk_parity,cross_sectional_momentum,vol_breakout,pairs_trading,ml_signal,macro_rotation,carry,sentiment
2021-09-10 00:00:00+00:00,0.0007607087137120641,0.013687718600640678,-0.00177157083374916,-0.00011847543971110893,-0.017955946769314956,-0.0019165177496489939,0.0007607087137120641,0.00014616756654799124,0.0007607087137120641,0.0007607087137120641
2021-09-11 00:00:00+00:00,-0.004966686093810267,-0.02345077402351192,-0.002838547338476117,0.012913178685452976,0.03128405802504235,-0.000851328276783853,-0.02953461775109242,0.0003310463815206881,0.0012352793985149885,0.0012352793985149885
2021-09-12 00:00:00+00:00,-0.0013385354382153172,-0.005314083927529384,-0.0017435633573163706,0.00262384576164776,-0.025845939301914856,-0.0006567560674898725,-0.019732834231650027,0.0031800483156383323,-0.0011158978327146575,-0.0011158978327146575
2021-09-13 00:00:00+00:00,-0.015527512790564944,0.01222650430973176,0.005291608479816885,-0.008854441676396669,0.006180548252096483,0.0052363120555396995,0.016283227273132937,0.0020295538242633806,0.0005392273511713026,0.0005392273511713026
2021-09-14 00:00:00+00:00,-0.0035425748421166452,0.008669785368779319,0.004136907263942156,-0.01314149540173793,-0.011192230190634127,-0.0053663967478039505,-0.0019380656356191247,-0.00636057388105978,0.0007845072566721974,0.0007845072566721974
2021-09-15 00:00:00+00:00,0.0022174242233244947,-0.018964656059847908,-0.0018496155892689812,0.014549625796902142,-0.006511914842488778,-0.0003279610027046131,-0.006772358245699881,-0.0026091884719504892,7.555035864453355e-05,7.555035864453355e-05
2021-09-16 00:00:00+00:00,0.00076923206352719,0.006042682618335656,0.001367632182581237,-0.008175199209846513,0.00405060863595233,0.004470932719557066,0.00930049571166506,0.0002897061700717885,-0.0007533607211154943,-0.0007533607211154943
2021-09-17 00:00:00+00:00,0.003345056815059014,-0.0172160364412138,0.0019298011514963446,0.0262062831218613,0.015840771633511753,0.004610110893000471,-0.014363650967665995,0.005294198229274288,0.0008536651035952682,0.0008536651035952682
2021-09-18 00:00:00+00:00,0.004725635335823657,-0.014620219686331355,-0.0036144879053571777,0.007721013387605659,-0.0064637492486769015,-0.0011038878572357804,-0.010947845232076512,-0.005289533578985984,-0.0005070877637163489,-0.0005070877637163489
2021-09-19 00:00:00+00:00,0.001198753126262764,0.031615243012362466,-0.006459952712617656,-0.022916013198345537,-0.025392981369658486,0.0029976813474300633,0.00360127032171157,-0.013119504066944615,-0.003636009400174968,-0.003636009400174968
